Product_Name,Category,Flavor,Order_Status,Sales_Channel,Container_Size_Lbs,Servings_Per_Container,Price_Per_Unit_PHP,Units_Sold,Total_Price_PHP,Order_Date,Shipment_Date
Creatine Drive,Creatine,Unflavored,Shipped,Marketplace,0.66,60,694,2608,1809952,7/21/2026,07/29/2026
Nitro Whey Concentrate,Protein Powder,Unflavored,Returned,Gym Partner,2,30,1475,2070,3053250,10/11/2026,10/17/2026
Nitro Whey Concentrate,Protein Powder,Vanilla Ice Cream,Delivered,Online Store,5,75,3196,678,2166888,7/20/2026,07/27/2026
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Shipped,Marketplace,2.2,200,1645,3428,5639060,10/23/2026,11/01/2026
Mass Gainer Pro,Weight Gainer,Double Chocolate,Processing,Gym Partner,12,32,3846,990,3807540,11/3/2026,11/05/2026
Creatine Drive,Creatine,Fruit Punch,Cancelled,Retail Store,1.1,100,1715,1094,1876210,11/5/2026,11/09/2026
Creatine Monohydrate Pure,Creatine,Fruit Punch,Delivered,Marketplace,1.1,100,1635,2048,3348480,6/29/2026,07/05/2026
Titan Weight Gainer,Weight Gainer,Double Chocolate,Processing,Online Store,6,16,2232,3361,7501752,1/28/2025,02/04/2025
Mass Gainer Pro,Weight Gainer,Double Chocolate,Returned,Gym Partner,12,32,3845,3237,12446265,1/3/2026,01/07/2026
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Shipped,Retail Store,12,32,3360,866,2909760,12/23/2026,12/27/2026
Plant Power Vegan,Protein Powder,Vanilla Ice Cream,Cancelled,Gym Partner,2,30,1691,975,1648725,6/10/2025,06/19/2025
Creatine Drive,Creatine,Blue Raspberry,Cancelled,Marketplace,2.2,200,1528,3821,5838488,10/17/2025,10/22/2025
Plant Power Vegan,Protein Powder,Vanilla Ice Cream,Returned,Online Store,2,30,1302,4353,5667606,3/12/2025,03/22/2025
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Processing,Marketplace,6,16,1909,1830,3493470,11/30/2026,12/03/2026
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Returned,Marketplace,12,32,4123,4964,20466572,2/28/2026,03/02/2026
Creatine Drive,Creatine,Fruit Punch,Returned,Marketplace,2.2,200,1718,1723,2960114,1/31/2025,02/03/2025
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Shipped,Gym Partner,1.33,60,2053,4030,8273590,4/11/2026,04/19/2026
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Returned,Online Store,12,32,3494,4688,16379872,4/13/2025,04/20/2025
Plant Power Vegan,Protein Powder,Unflavored,Shipped,Gym Partner,5,75,2843,4475,12722425,2/6/2025,02/15/2025
Whey Isolate Elite,Protein Powder,Unflavored,Processing,Gym Partner,5,75,3069,1598,4904262,2/6/2025,02/15/2025
Pre-Workout Ignition,Pre-Workout,Sour Apple,Processing,Retail Store,0.66,30,1463,858,1255254,1/28/2026,02/05/2026
Nitro Whey Concentrate,Protein Powder,Unflavored,Delivered,Gym Partner,2,30,1707,4649,7935843,7/25/2025,07/30/2025
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Delivered,Retail Store,1,45,2164,4085,8839940,12/24/2025,12/26/2025
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Delivered,Marketplace,6,16,2248,1209,2717832,12/8/2025,12/17/2025
Plant Power Vegan,Protein Powder,Cookies & Cream,Delivered,Retail Store,5,75,2865,1142,3271830,4/25/2026,05/03/2026
Whey Isolate Elite,Protein Powder,Vanilla Ice Cream,Shipped,Retail Store,5,75,3343,811,2711173,9/6/2025,09/14/2025
Max Pre-Workout,Pre-Workout,Sour Apple,Cancelled,Marketplace,0.66,30,1331,2009,2673979,5/28/2025,05/30/2025
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Processing,Gym Partner,1.33,60,1835,1459,2677265,12/19/2025,12/27/2025
Creatine Monohydrate Pure,Creatine,Fruit Punch,Cancelled,Online Store,2.2,200,1535,503,772105,12/17/2026,12/25/2026
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Delivered,Online Store,6,16,2112,4706,9939072,1/5/2026,01/14/2026
Creatine Drive,Creatine,Unflavored,Returned,Online Store,1.1,100,1673,222,371406,5/28/2026,05/30/2026
Mass Gainer Pro,Weight Gainer,Double Chocolate,Processing,Marketplace,12,32,4008,1651,6617208,5/30/2025,06/05/2025
Titan Weight Gainer,Weight Gainer,Double Chocolate,Shipped,Retail Store,12,32,3853,1599,6160947,11/12/2025,11/18/2025
Max Pre-Workout,Pre-Workout,Fruit Punch,Processing,Retail Store,1,45,2046,2364,4836744,12/17/2025,12/24/2025
Creatine Drive,Creatine,Unflavored,Processing,Retail Store,2.2,200,1686,1541,2598126,12/23/2025,12/31/2025
Creatine Monohydrate Pure,Creatine,Unflavored,Processing,Online Store,1.1,100,1789,514,919546,11/25/2026,12/01/2026
Nitro Whey Concentrate,Protein Powder,Unflavored,Shipped,Marketplace,2,30,1728,2707,4677696,5/30/2026,06/09/2026
Creatine Drive,Creatine,Unflavored,Processing,Gym Partner,1.1,100,1295,3637,4709915,6/19/2025,06/28/2025
Plant Power Vegan,Protein Powder,Vanilla Ice Cream,Delivered,Retail Store,2,30,1623,3320,5388360,4/25/2026,04/27/2026
Nitro Whey Concentrate,Protein Powder,Cookies & Cream,Processing,Online Store,2,30,1294,1771,2291674,8/23/2026,08/30/2026
Whey Isolate Elite,Protein Powder,Unflavored,Delivered,Gym Partner,2,30,1685,2433,4099605,3/23/2025,03/27/2025
Creatine Drive,Creatine,Fruit Punch,Shipped,Gym Partner,0.66,60,836,853,713108,5/30/2026,06/08/2026
Max Pre-Workout,Pre-Workout,Fruit Punch,Shipped,Retail Store,1.33,60,2075,4571,9484825,2/5/2025,02/08/2025
Max Pre-Workout,Pre-Workout,Watermelon,Delivered,Online Store,0.66,30,1141,388,442708,8/17/2026,08/24/2026
Mass Gainer Pro,Weight Gainer,Double Chocolate,Shipped,Online Store,12,32,3607,2743,9894001,10/16/2026,10/24/2026
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Delivered,Online Store,1.33,60,1816,1238,2248208,5/26/2026,05/28/2026
Nitro Whey Concentrate,Protein Powder,Unflavored,Returned,Retail Store,5,75,3438,4838,16633044,11/20/2025,11/26/2025
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Delivered,Retail Store,12,32,3505,2604,9127020,9/22/2026,09/28/2026
Creatine Monohydrate Pure,Creatine,Fruit Punch,Cancelled,Online Store,1.1,100,1704,23,39192,11/26/2025,12/06/2025
Titan Weight Gainer,Weight Gainer,Double Chocolate,Delivered,Online Store,6,16,2164,1350,2921400,9/18/2025,09/27/2025
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Cancelled,Retail Store,1.1,100,1404,4200,5896800,2/6/2026,02/14/2026
Creatine Drive,Creatine,Fruit Punch,Returned,Retail Store,1.1,100,1677,55,92235,8/17/2026,08/25/2026
Pre-Workout Ignition,Pre-Workout,Sour Apple,Processing,Retail Store,1,45,2335,91,212485,1/22/2025,02/01/2025
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Returned,Online Store,0.66,60,672,4151,2789472,5/26/2025,06/02/2025
Creatine Drive,Creatine,Fruit Punch,Delivered,Gym Partner,1.1,100,1579,4815,7602885,9/21/2025,09/24/2025
Nitro Whey Concentrate,Protein Powder,Unflavored,Cancelled,Gym Partner,5,75,2865,957,2741805,3/21/2026,03/26/2026
Plant Power Vegan,Protein Powder,Cookies & Cream,Processing,Gym Partner,5,75,3731,2006,7484386,7/1/2025,07/05/2025
Plant Power Vegan,Protein Powder,Cookies & Cream,Cancelled,Online Store,2,30,1553,3915,6079995,6/5/2025,06/09/2025
Max Pre-Workout,Pre-Workout,Watermelon,Cancelled,Online Store,1,45,2085,657,1369845,9/7/2026,09/16/2026
Pre-Workout Ignition,Pre-Workout,Sour Apple,Delivered,Gym Partner,1.33,60,2392,3826,9151792,8/7/2026,08/10/2026
Nitro Whey Concentrate,Protein Powder,Unflavored,Processing,Gym Partner,5,75,2899,933,2704767,10/23/2025,10/30/2025
Max Pre-Workout,Pre-Workout,Sour Apple,Shipped,Online Store,1.33,60,2186,402,878772,2/22/2026,03/03/2026
Creatine Monohydrate Pure,Creatine,Fruit Punch,Processing,Online Store,1.1,100,1544,634,978896,11/4/2025,11/13/2025
Max Pre-Workout,Pre-Workout,Sour Apple,Delivered,Online Store,0.66,30,1387,1918,2660266,4/27/2026,04/29/2026
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Cancelled,Gym Partner,1.33,60,2007,2207,4429449,6/25/2025,06/29/2025
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Returned,Online Store,1.33,60,1927,34,65518,2/11/2026,02/19/2026
Max Pre-Workout,Pre-Workout,Sour Apple,Returned,Gym Partner,1,45,1879,979,1839541,8/29/2026,09/01/2026
Creatine Monohydrate Pure,Creatine,Unflavored,Returned,Gym Partner,2.2,200,1733,3837,6649521,3/9/2025,03/11/2025
Nitro Whey Concentrate,Protein Powder,Milk Chocolate,Returned,Marketplace,5,75,3048,2202,6711696,6/4/2026,06/14/2026
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Shipped,Retail Store,12,32,3761,4753,17876033,3/3/2026,03/09/2026
Mass Gainer Pro,Weight Gainer,Double Chocolate,Cancelled,Online Store,12,32,3272,4510,14756720,6/25/2025,06/28/2025
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Shipped,Online Store,6,16,2118,1614,3418452,7/9/2025,07/17/2025
Plant Power Vegan,Protein Powder,Unflavored,Processing,Gym Partner,2,30,1613,2331,3759903,6/20/2025,06/29/2025
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Processing,Online Store,0.66,60,789,2443,1927527,10/17/2026,10/23/2026
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Delivered,Gym Partner,0.66,60,798,3537,2822526,1/26/2025,02/05/2025
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Delivered,Retail Store,6,16,2137,3307,7067059,10/26/2026,10/28/2026
Nitro Whey Concentrate,Protein Powder,Milk Chocolate,Returned,Retail Store,5,75,3254,3761,12238294,12/28/2026,01/06/2027
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Returned,Retail Store,0.66,30,1349,2465,3325285,12/3/2026,12/05/2026
Max Pre-Workout,Pre-Workout,Fruit Punch,Cancelled,Gym Partner,1.33,60,2234,4304,9615136,4/25/2025,05/05/2025
Max Pre-Workout,Pre-Workout,Sour Apple,Shipped,Retail Store,1.33,60,2191,2944,6450304,2/4/2026,02/12/2026
Max Pre-Workout,Pre-Workout,Sour Apple,Returned,Marketplace,1.33,60,1919,2687,5156353,11/15/2025,11/20/2025
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Returned,Online Store,6,16,1927,2216,4270232,5/16/2025,05/24/2025
Titan Weight Gainer,Weight Gainer,Double Chocolate,Cancelled,Online Store,12,32,3322,2036,6763592,2/18/2026,02/25/2026
Max Pre-Workout,Pre-Workout,Watermelon,Processing,Marketplace,1.33,60,2160,4417,9540720,2/12/2025,02/14/2025
Max Pre-Workout,Pre-Workout,Sour Apple,Returned,Gym Partner,1.33,60,2076,1210,2511960,1/28/2026,01/30/2026
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Cancelled,Gym Partner,6,16,2067,160,330720,9/29/2025,10/06/2025
Whey Isolate Elite,Protein Powder,Vanilla Ice Cream,Processing,Retail Store,5,75,3680,4858,17877440,2/25/2026,03/03/2026
Max Pre-Workout,Pre-Workout,Sour Apple,Cancelled,Gym Partner,1.33,60,2323,4264,9905272,12/9/2025,12/11/2025
Whey Isolate Elite,Protein Powder,Cookies & Cream,Processing,Retail Store,2,30,1592,4739,7544488,9/26/2026,10/01/2026
Nitro Whey Concentrate,Protein Powder,Milk Chocolate,Processing,Retail Store,5,75,3502,3284,11500568,6/18/2026,06/28/2026
Creatine Drive,Creatine,Blue Raspberry,Delivered,Gym Partner,2.2,200,1720,3190,5486800,5/16/2025,05/24/2025
Max Pre-Workout,Pre-Workout,Sour Apple,Cancelled,Online Store,0.66,30,1154,1452,1675608,7/17/2026,07/25/2026
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Shipped,Retail Store,0.66,60,843,3330,2807190,7/23/2025,07/30/2025
Creatine Drive,Creatine,Unflavored,Delivered,Online Store,2.2,200,1326,290,384540,2/20/2026,02/24/2026
Plant Power Vegan,Protein Powder,Milk Chocolate,Cancelled,Online Store,5,75,3647,1699,6196253,5/9/2025,05/16/2025
Plant Power Vegan,Protein Powder,Cookies & Cream,Processing,Marketplace,5,75,3089,3618,11176002,4/14/2025,04/24/2025
Titan Weight Gainer,Weight Gainer,Double Chocolate,Delivered,Online Store,6,16,2117,2986,6321362,10/24/2026,11/02/2026
Max Pre-Workout,Pre-Workout,Watermelon,Delivered,Marketplace,0.66,30,1386,1656,2295216,8/7/2025,08/16/2025
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Processing,Gym Partner,0.66,30,1445,1142,1650190,9/24/2026,09/30/2026
Creatine Monohydrate Pure,Creatine,Unflavored,Delivered,Gym Partner,1.1,100,1733,1811,3138463,2/2/2026,02/06/2026
Max Pre-Workout,Pre-Workout,Sour Apple,Returned,Retail Store,1,45,2066,2444,5049304,5/5/2026,05/11/2026
Nitro Whey Concentrate,Protein Powder,Milk Chocolate,Cancelled,Retail Store,5,75,3306,2606,8615436,2/16/2026,02/19/2026
Titan Weight Gainer,Weight Gainer,Double Chocolate,Shipped,Marketplace,6,16,1917,2786,5340762,9/20/2026,09/29/2026
Creatine Drive,Creatine,Fruit Punch,Returned,Online Store,2.2,200,1465,3025,4431625,8/8/2025,08/11/2025
Plant Power Vegan,Protein Powder,Vanilla Ice Cream,Cancelled,Retail Store,5,75,3711,597,2215467,6/6/2025,06/12/2025
Whey Isolate Elite,Protein Powder,Cookies & Cream,Processing,Gym Partner,2,30,1711,1931,3303941,4/16/2025,04/22/2025
Nitro Whey Concentrate,Protein Powder,Unflavored,Delivered,Retail Store,2,30,1691,3261,5514351,4/11/2026,04/13/2026
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Delivered,Marketplace,6,16,1819,2326,4230994,11/13/2026,11/23/2026
Whey Isolate Elite,Protein Powder,Milk Chocolate,Delivered,Retail Store,5,75,2930,566,1658380,1/24/2025,01/31/2025
Mass Gainer Pro,Weight Gainer,Double Chocolate,Delivered,Retail Store,6,16,2127,2720,5785440,5/25/2025,05/27/2025
Nitro Whey Concentrate,Protein Powder,Unflavored,Shipped,Gym Partner,5,75,3145,4189,13174405,8/5/2026,08/13/2026
Creatine Drive,Creatine,Unflavored,Cancelled,Online Store,2.2,200,1388,4551,6316788,3/17/2026,03/22/2026
Whey Isolate Elite,Protein Powder,Unflavored,Shipped,Gym Partner,5,75,3040,1462,4444480,10/26/2026,10/31/2026
Whey Isolate Elite,Protein Powder,Cookies & Cream,Processing,Retail Store,5,75,3028,763,2310364,12/4/2026,12/11/2026
Max Pre-Workout,Pre-Workout,Fruit Punch,Processing,Retail Store,1,45,2068,4231,8749708,5/6/2025,05/13/2025
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Shipped,Marketplace,12,32,3868,1642,6351256,10/6/2025,10/08/2025
Max Pre-Workout,Pre-Workout,Fruit Punch,Delivered,Online Store,0.66,30,1402,3448,4834096,1/19/2026,01/26/2026
Nitro Whey Concentrate,Protein Powder,Vanilla Ice Cream,Shipped,Marketplace,2,30,1238,4334,5365492,8/30/2026,09/08/2026
Plant Power Vegan,Protein Powder,Unflavored,Processing,Gym Partner,2,30,1309,4331,5669279,3/7/2025,03/17/2025
Creatine Monohydrate Pure,Creatine,Unflavored,Delivered,Online Store,0.66,60,767,4768,3657056,5/31/2026,06/09/2026
Nitro Whey Concentrate,Protein Powder,Vanilla Ice Cream,Delivered,Retail Store,2,30,1417,3013,4269421,10/26/2025,11/02/2025
Creatine Monohydrate Pure,Creatine,Unflavored,Returned,Gym Partner,0.66,60,719,246,176874,2/13/2025,02/21/2025
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Cancelled,Marketplace,2.2,200,1242,2494,3097548,8/22/2026,08/30/2026
Creatine Drive,Creatine,Fruit Punch,Cancelled,Gym Partner,0.66,60,840,4864,4085760,2/19/2026,02/28/2026
Nitro Whey Concentrate,Protein Powder,Cookies & Cream,Returned,Gym Partner,2,30,1296,688,891648,11/1/2025,11/07/2025
Pre-Workout Ignition,Pre-Workout,Sour Apple,Cancelled,Marketplace,0.66,30,1425,4777,6807225,10/6/2025,10/15/2025
Creatine Drive,Creatine,Unflavored,Returned,Gym Partner,2.2,200,1410,333,469530,7/20/2026,07/23/2026
Max Pre-Workout,Pre-Workout,Watermelon,Cancelled,Online Store,1.33,60,1976,2364,4671264,2/3/2026,02/13/2026
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Returned,Retail Store,6,16,1987,4856,9648872,4/20/2026,04/29/2026
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Cancelled,Gym Partner,0.66,60,719,4207,3024833,2/24/2026,03/01/2026
Max Pre-Workout,Pre-Workout,Fruit Punch,Cancelled,Retail Store,1,45,2146,4637,9951002,10/20/2026,10/25/2026
Nitro Whey Concentrate,Protein Powder,Unflavored,Cancelled,Online Store,2,30,1497,887,1327839,11/17/2025,11/27/2025
Creatine Monohydrate Pure,Creatine,Unflavored,Processing,Online Store,2.2,200,1706,879,1499574,7/10/2025,07/18/2025
Plant Power Vegan,Protein Powder,Milk Chocolate,Cancelled,Marketplace,2,30,1241,2874,3566634,10/27/2025,10/31/2025
Creatine Monohydrate Pure,Creatine,Unflavored,Delivered,Gym Partner,2.2,200,1502,424,636848,3/31/2025,04/09/2025
Creatine Drive,Creatine,Fruit Punch,Returned,Online Store,0.66,60,890,502,446780,4/30/2025,05/03/2025
Whey Isolate Elite,Protein Powder,Vanilla Ice Cream,Shipped,Gym Partner,5,75,3135,2121,6649335,12/2/2026,12/07/2026
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Delivered,Online Store,6,16,1885,611,1151735,2/15/2026,02/19/2026
Whey Isolate Elite,Protein Powder,Unflavored,Returned,Marketplace,5,75,3655,783,2861865,5/27/2025,05/29/2025
Plant Power Vegan,Protein Powder,Milk Chocolate,Cancelled,Online Store,2,30,1757,4973,8737561,7/24/2026,07/29/2026
Max Pre-Workout,Pre-Workout,Sour Apple,Delivered,Retail Store,0.66,30,1261,3067,3867487,3/10/2025,03/13/2025
Titan Weight Gainer,Weight Gainer,Double Chocolate,Delivered,Gym Partner,12,32,3739,806,3013634,6/26/2025,07/04/2025
Nitro Whey Concentrate,Protein Powder,Milk Chocolate,Shipped,Marketplace,2,30,1366,3540,4835640,1/4/2026,01/12/2026
Nitro Whey Concentrate,Protein Powder,Unflavored,Cancelled,Marketplace,5,75,3150,2850,8977500,5/3/2026,05/05/2026
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Delivered,Retail Store,1,45,2175,1653,3595275,2/7/2025,02/15/2025
Mass Gainer Pro,Weight Gainer,Double Chocolate,Cancelled,Online Store,12,32,3246,2024,6569904,6/10/2026,06/14/2026
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Shipped,Retail Store,0.66,60,865,1222,1057030,7/28/2025,08/06/2025
Whey Isolate Elite,Protein Powder,Cookies & Cream,Processing,Gym Partner,5,75,2933,4388,12870004,9/17/2025,09/25/2025
Plant Power Vegan,Protein Powder,Vanilla Ice Cream,Returned,Retail Store,5,75,3194,1989,6352866,12/29/2026,01/04/2027
Plant Power Vegan,Protein Powder,Milk Chocolate,Shipped,Marketplace,2,30,1656,1619,2681064,9/16/2025,09/24/2025
Pre-Workout Ignition,Pre-Workout,Watermelon,Delivered,Gym Partner,1.33,60,2019,4794,9679086,12/13/2026,12/16/2026
Whey Isolate Elite,Protein Powder,Cookies & Cream,Delivered,Gym Partner,2,30,1658,4091,6782878,5/31/2025,06/09/2025
Plant Power Vegan,Protein Powder,Milk Chocolate,Shipped,Online Store,5,75,3305,2159,7135495,4/6/2026,04/16/2026
Whey Isolate Elite,Protein Powder,Unflavored,Shipped,Marketplace,5,75,2827,4055,11463485,5/31/2025,06/08/2025
Plant Power Vegan,Protein Powder,Cookies & Cream,Returned,Online Store,2,30,1593,3101,4939893,12/21/2026,12/30/2026
Max Pre-Workout,Pre-Workout,Sour Apple,Cancelled,Marketplace,1,45,1913,1939,3709307,2/25/2025,03/03/2025
Nitro Whey Concentrate,Protein Powder,Cookies & Cream,Returned,Marketplace,5,75,3206,3942,12638052,11/23/2025,11/30/2025
Nitro Whey Concentrate,Protein Powder,Cookies & Cream,Delivered,Online Store,5,75,2967,4244,12591948,10/24/2025,10/29/2025
Nitro Whey Concentrate,Protein Powder,Unflavored,Shipped,Online Store,5,75,3500,2672,9352000,11/24/2026,11/26/2026
Plant Power Vegan,Protein Powder,Vanilla Ice Cream,Processing,Gym Partner,2,30,1600,1920,3072000,5/28/2026,06/02/2026
Creatine Drive,Creatine,Fruit Punch,Cancelled,Gym Partner,1.1,100,1494,4971,7426674,8/28/2026,09/03/2026
Plant Power Vegan,Protein Powder,Cookies & Cream,Returned,Retail Store,5,75,3543,572,2026596,5/22/2026,05/29/2026
Max Pre-Workout,Pre-Workout,Fruit Punch,Delivered,Online Store,1,45,2238,96,214848,10/11/2026,10/13/2026
Nitro Whey Concentrate,Protein Powder,Unflavored,Cancelled,Retail Store,2,30,1544,1096,1692224,5/10/2025,05/16/2025
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Cancelled,Retail Store,1,45,2104,110,231440,10/9/2026,10/15/2026
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Delivered,Marketplace,12,32,3243,304,985872,4/28/2026,05/06/2026
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Shipped,Retail Store,1.33,60,2304,2147,4946688,9/26/2025,10/05/2025
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Shipped,Gym Partner,6,16,1841,3710,6830110,12/4/2025,12/07/2025
Creatine Monohydrate Pure,Creatine,Fruit Punch,Processing,Retail Store,2.2,200,1495,1236,1847820,2/16/2026,02/21/2026
Whey Isolate Elite,Protein Powder,Unflavored,Cancelled,Retail Store,2,30,1651,1853,3059303,10/17/2026,10/26/2026
Titan Weight Gainer,Weight Gainer,Double Chocolate,Shipped,Online Store,6,16,2217,3700,8202900,5/27/2025,06/06/2025
Creatine Monohydrate Pure,Creatine,Unflavored,Cancelled,Marketplace,1.1,100,1628,3839,6249892,11/1/2026,11/04/2026
Creatine Monohydrate Pure,Creatine,Fruit Punch,Shipped,Retail Store,1.1,100,1293,3948,5104764,11/5/2026,11/07/2026
Max Pre-Workout,Pre-Workout,Watermelon,Shipped,Marketplace,1.33,60,1850,4367,8078950,6/9/2025,06/14/2025
Max Pre-Workout,Pre-Workout,Fruit Punch,Returned,Online Store,1,45,1835,1466,2690110,4/17/2025,04/22/2025
Nitro Whey Concentrate,Protein Powder,Unflavored,Delivered,Retail Store,2,30,1214,1699,2062586,9/22/2026,09/28/2026
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Delivered,Gym Partner,6,16,1886,1046,1972756,4/20/2025,04/25/2025
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Processing,Online Store,6,16,1882,2702,5085164,8/7/2026,08/12/2026
Creatine Drive,Creatine,Blue Raspberry,Delivered,Gym Partner,2.2,200,1205,38,45790,4/17/2025,04/21/2025
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Delivered,Online Store,2.2,200,1344,1482,1991808,6/23/2025,07/03/2025
Whey Isolate Elite,Protein Powder,Unflavored,Delivered,Gym Partner,5,75,3395,454,1541330,6/20/2026,06/29/2026
Nitro Whey Concentrate,Protein Powder,Cookies & Cream,Cancelled,Retail Store,2,30,1540,1650,2541000,10/28/2025,11/05/2025
Whey Isolate Elite,Protein Powder,Cookies & Cream,Cancelled,Online Store,2,30,1733,1388,2405404,7/26/2025,08/02/2025
Creatine Monohydrate Pure,Creatine,Fruit Punch,Processing,Gym Partner,2.2,200,1747,3632,6345104,11/11/2025,11/19/2025
Titan Weight Gainer,Weight Gainer,Double Chocolate,Cancelled,Online Store,12,32,3911,4177,16336247,2/23/2025,03/03/2025
Plant Power Vegan,Protein Powder,Cookies & Cream,Delivered,Online Store,2,30,1629,3901,6354729,9/29/2025,10/01/2025
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Shipped,Gym Partner,6,16,2310,3045,7033950,10/7/2025,10/13/2025
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Processing,Marketplace,6,16,2101,4330,9097330,3/12/2025,03/22/2025
Nitro Whey Concentrate,Protein Powder,Cookies & Cream,Processing,Online Store,5,75,3720,4015,14935800,6/22/2026,06/28/2026
Nitro Whey Concentrate,Protein Powder,Cookies & Cream,Processing,Gym Partner,5,75,3793,2687,10191791,4/20/2025,04/28/2025
Plant Power Vegan,Protein Powder,Milk Chocolate,Shipped,Marketplace,2,30,1370,2661,3645570,11/1/2026,11/04/2026
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Cancelled,Gym Partner,12,32,4173,1522,6351306,8/24/2025,08/28/2025
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Returned,Online Store,6,16,1933,2922,5648226,5/18/2025,05/24/2025
Creatine Drive,Creatine,Unflavored,Cancelled,Gym Partner,0.66,60,854,1555,1327970,8/14/2026,08/23/2026
Whey Isolate Elite,Protein Powder,Milk Chocolate,Cancelled,Online Store,5,75,3229,3551,11466179,12/12/2025,12/17/2025
Nitro Whey Concentrate,Protein Powder,Unflavored,Delivered,Gym Partner,2,30,1528,4008,6124224,5/5/2025,05/15/2025
Creatine Drive,Creatine,Fruit Punch,Processing,Online Store,1.1,100,1439,4752,6838128,5/24/2026,05/28/2026
Max Pre-Workout,Pre-Workout,Watermelon,Returned,Online Store,1.33,60,2368,303,717504,3/23/2025,03/28/2025
Max Pre-Workout,Pre-Workout,Fruit Punch,Delivered,Gym Partner,1,45,1833,1608,2947464,2/16/2025,02/26/2025
Nitro Whey Concentrate,Protein Powder,Vanilla Ice Cream,Shipped,Retail Store,5,75,3786,2067,7825662,7/2/2025,07/10/2025
Nitro Whey Concentrate,Protein Powder,Vanilla Ice Cream,Returned,Online Store,2,30,1341,2804,3760164,8/25/2025,09/04/2025
Max Pre-Workout,Pre-Workout,Sour Apple,Returned,Marketplace,1.33,60,2008,3725,7479800,1/2/2025,01/09/2025
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Cancelled,Gym Partner,1,45,1811,1549,2805239,6/22/2026,06/27/2026
Max Pre-Workout,Pre-Workout,Sour Apple,Shipped,Retail Store,1,45,2311,3022,6983842,11/1/2026,11/08/2026
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Processing,Online Store,6,16,2229,1106,2465274,9/12/2026,09/17/2026
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Cancelled,Gym Partner,0.66,60,841,923,776243,6/15/2025,06/21/2025
Creatine Drive,Creatine,Unflavored,Delivered,Retail Store,0.66,60,835,2082,1738470,8/29/2025,09/05/2025
Mass Gainer Pro,Weight Gainer,Double Chocolate,Returned,Marketplace,6,16,1937,271,524927,9/16/2025,09/20/2025
Whey Isolate Elite,Protein Powder,Cookies & Cream,Returned,Marketplace,2,30,1674,549,919026,7/7/2025,07/13/2025
Whey Isolate Elite,Protein Powder,Unflavored,Processing,Online Store,2,30,1790,590,1056100,3/31/2025,04/05/2025
Creatine Monohydrate Pure,Creatine,Fruit Punch,Processing,Online Store,2.2,200,1584,4732,7495488,8/11/2025,08/13/2025
Nitro Whey Concentrate,Protein Powder,Milk Chocolate,Shipped,Gym Partner,2,30,1333,4122,5494626,6/8/2026,06/16/2026
